UUID,NAME,CLASS,SIZE,BLADE SPEED,CHIP REMOVAL RATE,FORCE
,A36 Solid - 2 In,Carbon Steel,2,275,14,175
,A36 Solid - 4 In,Carbon Steel,4,275,14,175
,A36 Solid - 6 In,Carbon Steel,6,275,14,175
,A36 Solid - 8 In,Carbon Steel,8,275,14,175
,A36 Solid - 10 In,Carbon Steel,10,275,14,175
,A36 Solid - 12 In,Carbon Steel,12,275,14,175
,A36 Solid - 16 In,Carbon Steel,16,275,14,175
,A36 Solid - 20 In,Carbon Steel,20,275,14,175
,A36 Tubing - 2 In,Carbon Steel,2,275,14,175
,A36 Tubing - 4 In,Carbon Steel,4,275,14,175
,A36 Tubing - 6 In,Carbon Steel,6,275,14,175
,A36 Tubing - 8 In,Carbon Steel,8,275,14,175
,A36 Tubing - 10 In,Carbon Steel,10,275,14,175
,A36 Tubing - 12 In,Carbon Steel,12,275,14,175
,A36 Tubing - 16 In,Carbon Steel,16,275,14,175
,A36 Tubing - 20 In,Carbon Steel,20,275,14,175
,A48 CLASS 20 - 2 In,Carbon Steel,2,156,9.4,265
,A48 CLASS 20 - 4 In,Carbon Steel,4,156,9.4,265
,A48 CLASS 20 - 6 In,Carbon Steel,6,156,9.4,265
,A48 CLASS 20 - 8 In,Carbon Steel,8,156,9.4,265
,A48 CLASS 20 - 10 In,Carbon Steel,10,156,9.4,265
,A48 CLASS 20 - 12 In,Carbon Steel,12,156,9.4,265
,A48 CLASS 20 - 16 In,Carbon Steel,16,156,9.4,265
,A48 CLASS 20 - 20 In,Carbon Steel,20,156,9.4,265
,A536 Grade 60-40-18 - 2 In,Carbon Steel,2,156,9.4,265
,A536 Grade 60-40-18 - 4 In,Carbon Steel,4,156,9.4,265
,A536 Grade 60-40-18 - 6 In,Carbon Steel,6,156,9.4,265
,A536 Grade 60-40-18 - 8 In,Carbon Steel,8,156,9.4,265
,A536 Grade 60-40-18 - 10 In,Carbon Steel,10,156,9.4,265
,A536 Grade 60-40-18 - 12 In,Carbon Steel,12,156,9.4,265
,A536 Grade 60-40-18 - 16 In,Carbon Steel,16,156,9.4,265
,A536 Grade 60-40-18 - 20 In,Carbon Steel,20,156,9.4,265
,A536 Grade 120-90-02 - 2 In,Carbon Steel,2,156,9.4,265
,A536 Grade 120-90-02 - 4 In,Carbon Steel,4,156,9.4,265
,A536 Grade 120-90-02 - 6 In,Carbon Steel,6,156,9.4,265
,A536 Grade 120-90-02 - 8 In,Carbon Steel,8,156,9.4,265
,A536 Grade 120-90-02 - 10 In,Carbon Steel,10,156,9.4,265
,A536 Grade 120-90-02 - 12 In,Carbon Steel,12,156,9.4,265
,A536 Grade 120-90-02 - 16 In,Carbon Steel,16,156,9.4,265
,A536 Grade 120-90-02 - 20 In,Carbon Steel,20,156,9.4,265
,1145-12L15 Steel - 2 In,Carbon Steel,2,285,24,150
,1145-12L15 Steel - 4 In,Carbon Steel,4,270,24,150
,1145-12L15 Steel - 6 In,Carbon Steel,6,255,24,150
,1145-12L15 Steel - 8 In,Carbon Steel,8,240,24,150
,1145-12L15 Steel - 10 In,Carbon Steel,10,225,24,150
,1145-12L15 Steel - 12 In,Carbon Steel,12,215,24,150
,1145-12L15 Steel - 16 In,Carbon Steel,16,190,24,150
,1145-12L15 Steel - 20 In,Carbon Steel,20,170,24,150
,1524 Alloy - 2 In,Alloy Steel,2,180,14,210
,1524 Alloy - 4 In,Alloy Steel,4,170,14,210
,1524 Alloy - 6 In,Alloy Steel,6,160,14,210
,1524 Alloy - 8 In,Alloy Steel,8,150,14,210
,1524 Alloy - 10 In,Alloy Steel,10,145,14,210
,1524 Alloy - 12 In,Alloy Steel,12,135,14,210
,1524 Alloy - 16 In,Alloy Steel,16,120,14,210
,1524 Alloy - 20 In,Alloy Steel,20,105,14,210
,1541 Alloy - 2 In,Alloy Steel,2,215,14,210
,1541 Alloy - 4 In,Alloy Steel,4,200,14,210
,1541 Alloy - 6 In,Alloy Steel,6,190,14,210
,1541 Alloy - 8 In,Alloy Steel,8,180,14,210
,1541 Alloy - 10 In,Alloy Steel,10,170,14,210
,1541 Alloy - 12 In,Alloy Steel,12,160,14,210
,1541 Alloy - 16 In,Alloy Steel,16,140,14,210
,1541 Alloy - 20 In,Alloy Steel,20,125,14,210
,4140-4150 Alloy - 2 In,Alloy Steel,2,215,9.6,245
,4140-4150 Alloy - 4 In,Alloy Steel,4,200,9.6,245
,4140-4150 Alloy - 6 In,Alloy Steel,6,190,9.6,245
,4140-4150 Alloy - 8 In,Alloy Steel,8,180,9.6,245
,4140-4150 Alloy - 10 In,Alloy Steel,10,170,9.6,245
,4140-4150 Alloy - 12 In,Alloy Steel,12,160,9.6,245
,4140-4150 Alloy - 16 In,Alloy Steel,16,140,9.6,245
,4140-4150 Alloy - 20 In,Alloy Steel,20,125,9.6,245
,4340-5160-6150 Allow - 2 In,Alloy Steel,2,200,9.6,245
,4340-5160-6150 Allow - 4 In,Alloy Steel,4,190,9.6,245
,4340-5160-6150 Allow - 6 In,Alloy Steel,6,185,9.6,245
,4340-5160-6150 Allow - 8 In,Alloy Steel,8,175,9.6,245
,4340-5160-6150 Allow - 10 In,Alloy Steel,10,160,9.6,245
,4340-5160-6150 Allow - 12 In,Alloy Steel,12,150,9.6,245
,4340-5160-6150 Allow - 16 In,Alloy Steel,16,135,9.6,245
,4340-5160-6150 Allow - 20 In,Alloy Steel,20,125,9.6,245
,5210-9310 Alloy - 2 In,Alloy Steel,2,170,12.4,245
,5210-9310 Alloy - 4 In,Alloy Steel,4,160,12.4,245
,5210-9310 Alloy - 6 In,Alloy Steel,6,150,12.4,245
,5210-9310 Alloy - 8 In,Alloy Steel,8,140,12.4,245
,5210-9310 Alloy - 10 In,Alloy Steel,10,135,12.4,245
,5210-9310 Alloy - 12 In,Alloy Steel,12,125,12.4,245
,5210-9310 Alloy - 16 In,Alloy Steel,16,115,12.4,245
,5210-9310 Alloy - 20 In,Alloy Steel,20,100,12.4,245
,8620 Alloy - 2 In,Alloy Steel,2,230,9.6,210
,8620 Alloy - 4 In,Alloy Steel,4,215,9.6,210
,8620 Alloy - 6 In,Alloy Steel,6,205,9.6,210
,8620 Alloy - 8 In,Alloy Steel,8,190,9.6,210
,8620 Alloy - 10 In,Alloy Steel,10,180,9.6,210
,8620 Alloy - 12 In,Alloy Steel,12,170,9.6,210
,8620 Alloy - 16 In,Alloy Steel,16,150,9.6,210
,8620 Alloy - 20 In,Alloy Steel,20,135,9.6,210
,8640 Alloy - 2 In,Alloy Steel,2,195,9.6,210
,8640 Alloy - 4 In,Alloy Steel,4,185,9.6,210
,8640 Alloy - 6 In,Alloy Steel,6,175,9.6,210
,8640 Alloy - 8 In,Alloy Steel,8,165,9.6,210
